startTime,endTime,description,normativeEventNo,clipNo
0,5,"man standing, rowing boat on misty river ",1,1
5,12.705,"man standing on a boat full of wood planks, rowing through the misty river marsh",2,1
12.705,19.56,man hamerring a stake log into the ground ,3,1
19.56,22.07,man put hammer down and rest hand on hammer handle ,3,1
22.07,22.86,"man take a rest from hammering stake log, looking at the horizon ",3,1
22.875,31.89,"man pick up a rope, attached rope to boat, tethering boat to wooden stake ",4,1
31.89,34.2,man pick long wood log from boat,5,1
34.21,38.715,man carry long wood log over his shoulder ,5,1
38.715,52.845,man put long wood log down on ground ,5,1
52.845,56.57,"man carrying tool box, walking through water ",6,1
56.57,58.065,man put tool box down on ground by the water ,6,1
58.065,63.185,man pull wooden plank from boat ,7,separated
63.185,64.815,man throw wooden plank from boat to ground  ,7,2
64.82,67.62,man pull another wooden plank from boat ,7,2
67.62,70.38,man throw wooden plank from boat to ground  ,7,2
70.38,71.27,man walk towards tree with white cloth tied to one of the branches ,8,2
71.275,75.19,man untie the white cloth tied on tree branch ,8,2
75.19,76.42,man walk towards boat carrying white cloth ,8,2
76.42,86.17,man take his jacket off ,8,2
86.17,88.02,man put his jacket on boat ,8,2
88.02,90.31,man sit on the edge of the boat ,9,2
90.31,97.175,man wipe his forehead using the white cloth ,10,2
97.18,106.145,man dig holes using shovel ,11,2
97.18,106.145,"man insert shovel blande on ground, lift the soild out and dump soil onto ground ",11,2
106.145,107.25,hole on ground with dug out soil around it ,12,2
107.25,108.335,man stick cylindrical wooden log into hole in ground ,12,2
108.335,110.015,man hold cylindrical wooden long into place ,13,2
110.022,111.627,man stick cylindrical wooden log into hole in ground ,13,2
111.627,115.827,man pound soil around cylindrical wooden pole to compact the soil ,14,2
115.827,117.632,man push wooden pole to check sturdiness ,14,2
117.632,127.017,man pound soil around cylindrical wooden pole to compact the soil,14,separated
127.017,143.942,man use plumb bob to ensure that pole is straight ,15,3
127.017,143.942,man use metal weight attached to string to ensure that pole is straight ,15,3
143.942,147.772,"man standing, staring into the distance ",16,3
147.777,156.447,man standing and rowing on boat full of wooden planks ,17,3
156.447,160.898,"girl sitting on boat, holding doll, looking at man ",17,3
160.898,168.662,man docking boat towards the shore ,18,3
160.898,168.662,"girl jump off boat, holding her doll ",18,3
160.898,168.662,girl walk inland ,18,3
168.662,175.508,man hop off the boat ,19,3
168.662,175.508,girl walking inland holding doll ,19,3
175.508,179.312,"skeleton of house shack built, four poles erected on four corners of the rectangular structure, connected by wooden logs at the top",20,3
179.312,189.692,man pull a wooden plank from boat ,21,separated
179.312,189.692,man throw wooden plank from boat to ground  ,21,separated
189.692,197.437,man unload wooden plank from boat ,22,4
189.692,197.437,"girl walk towards man, pick up a wooden plank and carry wooden plank inland ",22,4
197.437,199.492,man watch girl walking away with wooden plank ,23,4
199.49,203.686,"girl walking, carrying and dragging wooden plank inland ",23,4
203.686,206.434,girl drop wooden plank on ground by the house structure ,23,4
206.434,207.044,girl balancing on wooden plank placed over a stone ,24,4
207.044,211.36,girl rocking on wooden plank balanced over rock ,24,4
211.36,218.67,man sawing a long wooden block ,25,4
218.67,221.054,"girl squatting by the water, swishing water using hand ",25,4
221.054,223.8,patrolmen boat appearing on the water by the bend,26,4
223.8,225.738,girl squatting down playing with the water look up to check the water,26,4
225.738,227.858,man stopped sawing and look towards water,27,4
227.858,229.122,three patrol soldiers dressed in camo uniform holding guns sitting in boat riding by island ,27,4
229.122,231.28,girl stand up looking at patrol soldiers on boat in water,28,4
231.28,235.155,girl walk towards man ,28,4
235.155,236.78,girl sit on wooden plank man was sawing ,29,4
236.78,239.65,"middle patrol soldier nod to soldier on left, gesture towards where man and girl are on island",30,4
239.65,241.3,patrol soldier on left turn to look at man and girl on island,30,separated
241.3,243.625,"man watching patrol soldiers sail by, still holding on saw which blade is halfway through wood",30,5
243.625,245.294,man nod towards patrol soldiers sailing by ,30,5
245.294,246.75,patrol soldiers looking at man and girl on island ,31,5
246.75,249,patrol soldiers nod back at man ,31,5
249,249.96,"girl sitting on log man is sawing, watching patrol soldiers sail by ",32,5
249.96,254.21,man continue sawing log ,32,5
254.21,255.73,girl watching patrol soldier sail by ,32,5
249.96,255.73,patrol soldiers sail by ,32,5
255.73,259.45,man pick up log he was sawing ,32,5
259.45,264.24,man carry log to house structure ,32,5
259.45,264.24,girl followed man walking towards house structure ,32,5
264.24,267.87,man insert log into hole to make pillar for house ,32,5
267.87,270.95,man hold log pillar in place ,32,5
267.87,270.95,girl help man hold log pillar in place ,32,5
270.95,274.985,man pick twigs and branches for kindling along the shore ,33,5
274.985,281.638,man carry collected kindling and put it down onto pile of branches ,33,5
281.641,285.88,"man sitting on ground, inserting kindling to start fire ",34,5
285.883,293.797,man bend down and blow on torched pile of kindling to start fire ,35,5
293.797,299.888,girl sit in front of fire ,36,5
