"subid","indiv_cond","movName","grain","group_cond","comparison_type","grainorder","min_corr","max_corr","act_corr","agreementIndex"
2,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.169607488639426,0.660725891354536,0.207816774994186,0.454545454545446
2,"Uninterrupted","3Iron","c","random","random","2",-0.241307550112054,0.533473583772675,0.0195098612946813,0.33663366336633
2,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.185343914901932,0.652956640952917,0.236286542184819,0.502958579881649
2,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.180612520455432,0.653746495609278,0.260270368715123,0.528409090909088
4,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.166301288984797,0.663706218371174,0.0451655918702234,0.254777070063689
4,"Uninterrupted","3Iron","c","random","random","2",-0.225648856640061,0.5634157710429,0.0971503092302322,0.409090909090897
4,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.185343914901932,0.652956640952917,0.0329118511194452,0.260355029585795
4,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.180612520455432,0.653746495609278,-0.0146888524880199,0.198863636363634
5,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.152380496859916,0.639890085170826,0.0789393811052668,0.291970802919712
5,"Uninterrupted","3Iron","c","random","random","1",-0.228273187452419,0.525425455886772,0.0229596936606461,0.333333333333335
5,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.168599312668523,0.638186089681652,0.0371580382664219,0.255033557046981
5,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.164295368554332,0.622284083634565,0.0116500352247617,0.223684210526314
6,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.23170097444111,0.757664586047847,0.155968796199462,0.391836734693879
6,"Uninterrupted","3Iron","c","random","random","2",-0.318376064172171,0.636026726452306,0.00900628842576086,0.343023255813954
6,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.25864479450235,0.727063585912592,0.228671708174705,0.494382022471915
6,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.252042200913174,0.742935944951977,0.270144911101161,0.524822695035461
7,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.107175267205246,0.5353309148191,0.0293572964749232,0.212499999999994
7,"Uninterrupted","3Iron","c","random","random","1",-0.155094467785595,0.344660950230416,-0.00400562047843214,0.302325581395342
7,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.11818371929415,0.549831388498066,-0.0270907500497606,0.136363636363631
7,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.115166766763334,0.508753811165013,-0.0281080814710083,0.139534883720927
8,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.178198786934597,0.681168574995795,0.125107340805545,0.352941176470593
