"condition","grain","movName","iteration","max_peakiness","min_peakiness","peakiness"
"Uninterrupted","c","3Iron",1,0.000162366976668806,2.41213466483135e-05,6.73125671779845
"Interrupted","c","3Iron",1,0.000149475289516482,2.58675677973602e-05,5.77848256501859
"Jumbled","c","3Iron",1,0.000112789541192716,2.96931308276312e-05,3.7985061880965
"Uninterrupted","f","3Iron",1,0.000298476476439424,4.62353128448818e-05,6.4555954761419
"Interrupted","f","3Iron",1,0.000347520269742079,4.67829489330974e-05,7.42835322841779
"Jumbled","f","3Iron",1,0.000344529050367777,4.99109339874607e-05,6.90287724237606
"Uninterrupted","c","Corn",1,0.000182606371828952,2.51715123778575e-05,7.25448551075477
"Interrupted","c","Corn",1,0.000120251602164808,2.6943977551455e-05,4.46302339493726
"Jumbled","c","Corn",1,0.000116926993690253,3.02405051813216e-05,3.86656879536769
"Uninterrupted","f","Corn",1,0.000329343041851185,4.86920763376506e-05,6.76379129054566
"Interrupted","f","Corn",1,0.000346761366274223,4.97623999151038e-05,6.96834089324086
"Jumbled","f","Corn",1,0.000327495364557263,5.38640510262662e-05,6.08003591110449
"Uninterrupted","c","3Iron",2,0.000114631910934144,2.44656793601699e-05,4.68541703856237
"Interrupted","c","3Iron",2,0.000123902158527573,2.61399091355545e-05,4.73996133211672
"Jumbled","c","3Iron",2,0.00014088832133115,2.94376325056207e-05,4.78599361902659
"Uninterrupted","f","3Iron",2,0.000251658644223589,4.62353128448818e-05,5.44299646177149
"Interrupted","f","3Iron",2,0.000308315475040074,4.67829489330974e-05,6.59033861847796
"Jumbled","f","3Iron",2,0.000321353029809455,4.99109339874607e-05,6.43852967949246
"Uninterrupted","c","Corn",2,0.000135162256728756,2.54711141099193e-05,5.30649174376394
"Interrupted","c","Corn",2,0.000130520334015115,2.6875991994825e-05,4.85639131163037
"Jumbled","c","Corn",2,0.000143720416897876,3.0108941093028e-05,4.77334677608957
"Uninterrupted","f","Corn",2,0.000321301744917889,4.86920763376506e-05,6.59864538718481
"Interrupted","f","Corn",2,0.000337070237885498,4.97623999151038e-05,6.77359288258908
"Jumbled","f","Corn",2,0.000312688636586551,5.38640510262662e-05,5.8051451873546
"Uninterrupted","c","3Iron",3,0.000116351788690896,2.43589355234848e-05,4.77655472993551
"Interrupted","c","3Iron",3,0.000143241604491681,2.61399091355545e-05,5.47980498894887
"Jumbled","c","3Iron",3,9.93620866025607e-05,2.97502825734211e-05,3.33987034769649
"Uninterrupted","f","3Iron",3,0.00035761814992456,4.62353128448818e-05,7.73474056776385
"Interrupted","f","3Iron",3,0.000298624144188401,4.67829489330974e-05,6.38318342470144
"Jumbled","f","3Iron",3,0.000305479176636617,4.99109339874607e-05,6.12048607852867
"Uninterrupted","c","Corn",3,0.000105543802122865,2.56542005192634e-05,4.11409437778478
"Interrupted","c","Corn",3,0.000186566340585452,2.66972134035219e-05,6.9882327329653
"Jumbled","c","Corn",3,0.000137969659026754,3.0108941093028e-05,4.58234843266216
"Uninterrupted","f","Corn",3,0.000300003850201352,4.86920763376506e-05,6.16124578711747
"Interrupted","f","Corn",3,0.000369741782569181,4.76444026163257e-05,7.76044534646943
"Jumbled","f","Corn",3,0.000342879351359393,5.38640510262662e-05,6.36564359394713
"Uninterrupted","c","3Iron",4,0.000144606142528332,2.41213466483135e-05,5.99494483606879
"Interrupted","c","3Iron",4,0.000123281448378224,2.61399091355545e-05,4.71621564324956
"Jumbled","c","3Iron",4,0.000102054801629537,2.97502825734211e-05,3.43038091748121
"Uninterrupted","f","3Iron",4,0.00029957398199774,4.62353128448818e-05,6.47933286409897
"Interrupted","f","3Iron",4,0.000309003596700086,4.67829489330974e-05,6.60504743174656
"Jumbled","f","3Iron",4,0.000306891154600808,4.99109339874607e-05,6.14877603127821
"Uninterrupted","c","Corn",4,0.000149897603474791,2.54711141099193e-05,5.88500380579802
"Interrupted","c","Corn",4,9.86579176413428e-05,2.6943977551455e-05,3.66159441206984
"Jumbled","c","Corn",4,0.000137428158672878,3.0108941093028e-05,4.56436372997192
"Uninterrupted","f","Corn",4,0.000325353546363263,4.86920763376506e-05,6.6818581345172
"Interrupted","f","Corn",4,0.00031989019170268,4.97623999151038e-05,6.42835137068195
"Jumbled","f","Corn",4,0.000364472331520122,5.38640510262662e-05,6.76652283992512
"Uninterrupted","c","3Iron",5,0.00011288591594883,2.44656793601699e-05,4.61405196589832
