"trial_type","trial_index","time_elapsed","rt","exp_condition","grain","mov_name","response","subid","recall_time","condition","movName"
"typing-period",34,1027349,"1470387.3000004292","continuous","c","iron","the man did not like the weight reading and took it apart and fixed the scale. He then took his wieght again",43318,"2554","Uninterrupted","3Iron"
"typing-period",36,1044502,"430237.7999994457","continuous","c","iron","the man also took apart a clock when he entered the next home ",43318,"2317.5","Uninterrupted","3Iron"
"typing-period",38,1062297,"995475.6999992132","continuous","c","iron","when he entered the second home there was a girl there that avoided him for most of the night ",43318,"787.8000000119209","Uninterrupted","3Iron"
"typing-period",40,1079217,"833470.7000003457","continuous","c","iron","the man made breakfest for the girl and used some rice from the rice cooker",43318,"444","Uninterrupted","3Iron"
"typing-period",42,1105854,"1407530.8999991715","continuous","c","iron","the man took photos at the first house he was at and another photo with the weird painting of a girl",43318,"532.5","Uninterrupted","3Iron"
"typing-period",44,1124062,"831994.9999988377","continuous","c","iron","both the man and girl took a photo with boxing gloves at the last house ",43318,"488.09999999403954","Uninterrupted","3Iron"
"typing-period",46,1141309,"705287.4999990165","continuous","c","iron","the girl had the man cut her hair and she then styled it before taking a photo",43318,"500.2000000178814","Uninterrupted","3Iron"
"typing-period",48,1158741,"805822.3999992907","continuous","c","iron","the man took apart a stereo and messed around with its inner mechanisms",43318,"548.0999999940395","Uninterrupted","3Iron"
"typing-period",50,1172386,"501381.40000092983","continuous","c","iron","the man left the first house once the family that lived there showed up",43318,"636.8000000119209","Uninterrupted","3Iron"
"typing-period",52,1198158,"1274402.0000011623","continuous","c","iron","there were these takeout signs (?) on the front door knobs for the first two houses ",43318,"408","Uninterrupted","3Iron"
"typing-period",54,1215293,"652148.6999991834","continuous","c","iron","the man uses alot of shampoo while showering at the first house ",43318,"770.9000000059605","Uninterrupted","3Iron"
"typing-period",56,1226945,"353184.10000011325","continuous","c","iron","the girl seemed to be crying while in the bath",43318,"588.0999999940395","Uninterrupted","3Iron"
"typing-period",58,1232753,"97954.0999995172","continuous","c","iron","the man picked out the girls outfit",43318,"336.60000002384186","Uninterrupted","3Iron"
"typing-period",60,1247077,"518180.8999992311","continuous","c","iron","the man tied a golf ball to a tree and practiced swinging",43318,"295.90000000596046","Uninterrupted","3Iron"
"typing-period",62,1260225,"434319.0999996066","continuous","c","iron","one passerby got scared he almost got hit by a golf ball",43318,"488.59999999403954","Uninterrupted","3Iron"
"typing-period",64,1278894,"786715.1999990642","continuous","c","iron","in the house with the camera system, there was another girl that stopped by",43318,"231.90000000596046","Uninterrupted","3Iron"
"typing-period",66,1293002,"381972.2000001073","continuous","c","iron","the guy travels  everywhere using the motorcycle",43318,"679.9000000059605","Uninterrupted","3Iron"
"typing-period",68,1302118,"135011.19999992847","continuous","c","iron","he eats a lot of rice",43318,"1383.800000011921","Uninterrupted","3Iron"
"typing-period",70,1302156,"null","continuous","c","iron","",43318,"null","Uninterrupted","3Iron"
"typing-period",81,1906205,"792770.9999996424","continuous","c","corn","the man gave the soldiers an awkward nod when they drove by on their boat",43318,"1858.800000011921","Uninterrupted","Corn"
"typing-period",83,1924817,"709861.8000007272","continuous","c","corn","the girl balances on a piece of wood when she first arrives to the small piece of land",43318,"504.40000000596046","Uninterrupted","Corn"
"typing-period",85,1941029,"769031.0000009835","continuous","c","corn","the old man starts a fire for the night and the girl and him stay around it",43318,"416.09999999403954","Uninterrupted","Corn"
"typing-period",87,1960425,"1037600.4999994636","continuous","c","corn","the girl brought food both the both of them to eat and she drank some water from the jug directly",43318,"654","Uninterrupted","Corn"
