"subid"	"condition"	"grain"	"movName"	"clipNo"	"bpTime.series"
"1"	"43318"	"Uninterrupted"	"c"	"prac"	1	18.2976000000238
"2"	"43318"	"Uninterrupted"	"c"	"prac"	1	29.7053000000119
"3"	"43318"	"Uninterrupted"	"c"	"prac"	1	42.251
"4"	"43318"	"Uninterrupted"	"c"	"prac"	1	49.0756000000238
"5"	"43318"	"Uninterrupted"	"c"	"iron"	1	30.8478999999762
"6"	"43318"	"Uninterrupted"	"c"	"iron"	1	121.481699999988
"7"	"43318"	"Uninterrupted"	"c"	"iron"	1	183.942399999976
"8"	"43318"	"Uninterrupted"	"c"	"iron"	1	217.109799999982
"9"	"43318"	"Uninterrupted"	"c"	"iron"	1	281.284799999982
"10"	"43318"	"Uninterrupted"	"c"	"iron"	1	305.9465
"11"	"43318"	"Uninterrupted"	"c"	"iron"	1	338.757399999976
"12"	"43318"	"Uninterrupted"	"c"	"iron"	1	393.517199999988
"13"	"43318"	"Uninterrupted"	"c"	"iron"	1	452.304699999988
"14"	"43318"	"Uninterrupted"	"c"	"iron"	1	495.575199999988
"15"	"43318"	"Uninterrupted"	"c"	"iron"	1	536.610599999994
"16"	"43318"	"Uninterrupted"	"c"	"iron"	1	588.203099999994
"17"	"43318"	"Uninterrupted"	"c"	"corn"	1	15.7366999999881
"18"	"43318"	"Uninterrupted"	"c"	"corn"	1	56.401099999994
"19"	"43318"	"Uninterrupted"	"c"	"corn"	1	96.927099999994
"20"	"43318"	"Uninterrupted"	"c"	"corn"	1	100.238400000006
"21"	"43318"	"Uninterrupted"	"c"	"corn"	1	111.058900000006
"22"	"43318"	"Uninterrupted"	"c"	"corn"	1	133.6345
"23"	"43318"	"Uninterrupted"	"c"	"corn"	1	153.388799999982
"24"	"43318"	"Uninterrupted"	"c"	"corn"	1	177.421699999988
"25"	"43318"	"Uninterrupted"	"c"	"corn"	1	205.742199999988
"26"	"43318"	"Uninterrupted"	"c"	"corn"	1	213.903799999982
"27"	"43318"	"Uninterrupted"	"c"	"corn"	1	229.729699999988
"28"	"43318"	"Uninterrupted"	"c"	"corn"	1	279.822299999982
"29"	"43318"	"Uninterrupted"	"c"	"corn"	1	301.434
"30"	"43318"	"Uninterrupted"	"c"	"corn"	1	341.551
"31"	"43318"	"Uninterrupted"	"c"	"corn"	1	363.311099999994
"32"	"43318"	"Uninterrupted"	"c"	"corn"	1	384.648400000006
"33"	"43318"	"Uninterrupted"	"c"	"corn"	1	412.621
"34"	"43318"	"Uninterrupted"	"c"	"corn"	1	532.469799999982
"35"	"46900"	"Uninterrupted"	"c"	"prac"	1	16.773
"36"	"46900"	"Uninterrupted"	"c"	"prac"	1	28.747
"37"	"46900"	"Uninterrupted"	"c"	"prac"	1	48.452
"38"	"46900"	"Uninterrupted"	"c"	"prac"	1	87.624
"39"	"46900"	"Uninterrupted"	"c"	"iron"	1	31.132
"40"	"46900"	"Uninterrupted"	"c"	"iron"	1	50.0630000000001
"41"	"46900"	"Uninterrupted"	"c"	"iron"	1	53.822
"42"	"46900"	"Uninterrupted"	"c"	"iron"	1	187.581
"43"	"46900"	"Uninterrupted"	"c"	"iron"	1	264.987
"44"	"46900"	"Uninterrupted"	"c"	"iron"	1	387.559
"45"	"46900"	"Uninterrupted"	"c"	"iron"	1	470.16
"46"	"46900"	"Uninterrupted"	"c"	"iron"	1	569.077
"47"	"46900"	"Uninterrupted"	"c"	"corn"	1	35.7350000000002
"48"	"46900"	"Uninterrupted"	"c"	"corn"	1	110.696
"49"	"46900"	"Uninterrupted"	"c"	"corn"	1	152.789
"50"	"46900"	"Uninterrupted"	"c"	"corn"	1	196.907
"51"	"46900"	"Uninterrupted"	"c"	"corn"	1	241.529
"52"	"46900"	"Uninterrupted"	"c"	"corn"	1	274.034
"53"	"46900"	"Uninterrupted"	"c"	"corn"	1	307.84
"54"	"46900"	"Uninterrupted"	"c"	"corn"	1	370.994
"55"	"46900"	"Uninterrupted"	"c"	"corn"	1	494.245
"56"	"46900"	"Uninterrupted"	"c"	"corn"	1	572.493
"57"	"47710"	"Uninterrupted"	"f"	"prac"	1	8.511
"58"	"47710"	"Uninterrupted"	"f"	"prac"	1	13.215
"59"	"47710"	"Uninterrupted"	"f"	"prac"	1	16.488
"60"	"47710"	"Uninterrupted"	"f"	"prac"	1	18.425
"61"	"47710"	"Uninterrupted"	"f"	"prac"	1	19.767
"62"	"47710"	"Uninterrupted"	"f"	"prac"	1	22.22
"63"	"47710"	"Uninterrupted"	"f"	"prac"	1	24.673
"64"	"47710"	"Uninterrupted"	"f"	"prac"	1	26.619
"65"	"47710"	"Uninterrupted"	"f"	"prac"	1	29.884
"66"	"47710"	"Uninterrupted"	"f"	"prac"	1	33.938
"67"	"47710"	"Uninterrupted"	"f"	"prac"	1	36.867
"68"	"47710"	"Uninterrupted"	"f"	"prac"	1	44.272
"69"	"47710"	"Uninterrupted"	"f"	"prac"	1	46.256
"70"	"47710"	"Uninterrupted"	"f"	"prac"	1	48.008
"71"	"47710"	"Uninterrupted"	"f"	"prac"	1	49.894
"72"	"47710"	"Uninterrupted"	"f"	"prac"	1	54.348
"73"	"47710"	"Uninterrupted"	"f"	"prac"	1	56.759
"74"	"47710"	"Uninterrupted"	"f"	"prac"	1	61.386
"75"	"47710"	"Uninterrupted"	"f"	"prac"	1	62.944
"76"	"47710"	"Uninterrupted"	"f"	"prac"	1	67.299
