pseudo_subid,exp_cond,exp_subid,movName,temporal_clustering,semantic_clustering,event_condition,condition
44,Full,18,3Iron,0.853765923,0.766026884,intact,Uninterrupted
44,Full,18,3Iron,0.977333788,0.613470195,separated,Uninterrupted
34,Full,27,3Iron,0.974637261,0.708635821,intact,Uninterrupted
34,Full,27,3Iron,0.955706474,0.836049141,separated,Uninterrupted
76,Ordered,28,3Iron,0.949414274,0.731732196,intact,Interrupted
76,Ordered,28,3Iron,0.969513436,0.744954783,separated,Interrupted
28,Ordered,21,3Iron,0.935819994,0.715770619,intact,Interrupted
28,Ordered,21,3Iron,0.932786522,0.573436645,separated,Interrupted
58,Ordered,15,3Iron,0.857347927,0.863272012,intact,Interrupted
58,Ordered,15,3Iron,NA,NA,separated,Interrupted
13,Jumbled,3,3Iron,0.944231699,0.60405754,intact,Jumbled
13,Jumbled,3,3Iron,0.90015294,0.676206251,separated,Jumbled
63,Jumbled,16,3Iron,0.935066253,0.781512082,intact,Jumbled
63,Jumbled,16,3Iron,0.684671786,0.503817904,separated,Jumbled
82,Full,26,3Iron,0.982795875,0.785570568,intact,Uninterrupted
82,Full,26,3Iron,0.953247496,0.689504379,separated,Uninterrupted
5,Full,25,3Iron,0.980061147,0.777422082,intact,Uninterrupted
5,Full,25,3Iron,0.908233433,0.454889657,separated,Uninterrupted
51,Jumbled,11,3Iron,0.740145876,0.705645809,intact,Jumbled
51,Jumbled,11,3Iron,0.84887676,0.496743431,separated,Jumbled
21,Full,7,3Iron,0.935987871,0.661354598,intact,Uninterrupted
21,Full,7,3Iron,0.994227994,0.555796543,separated,Uninterrupted
66,Jumbled,32,3Iron,0.734716654,0.504387336,intact,Jumbled
66,Jumbled,32,3Iron,0.253623188,0.376811594,separated,Jumbled
16,Ordered,13,3Iron,0.918933398,0.648116423,intact,Interrupted
16,Ordered,13,3Iron,0.922526738,0.801871658,separated,Interrupted
48,Ordered,9,3Iron,0.940149422,0.71122203,intact,Interrupted
48,Ordered,9,3Iron,0.868531469,0.781818182,separated,Interrupted
38,Full,5,3Iron,0.966975486,0.661182059,intact,Uninterrupted
38,Full,5,3Iron,0.978573044,0.681893562,separated,Uninterrupted
24,Full,13,3Iron,0.950861978,0.696416943,intact,Uninterrupted
24,Full,13,3Iron,0.949168319,0.582487955,separated,Uninterrupted
54,Ordered,6,3Iron,0.93072449,0.667375562,intact,Interrupted
54,Ordered,6,3Iron,0.942398229,0.495591174,separated,Interrupted
87,Full,2,3Iron,0.984403485,0.734402653,intact,Uninterrupted
87,Full,2,3Iron,0.985008041,0.582647173,separated,Uninterrupted
92,Ordered,7,3Iron,0.949234334,0.76845161,intact,Interrupted
92,Ordered,7,3Iron,0.811340073,0.603093272,separated,Interrupted
