startTime,endTime,coarseEventNo,fineEventNo,movName,fineType
0.676,4,1,1,3Iron,start
0.676,4,1,1,3Iron,start
0.676,4,1,1,3Iron,start
4,6.968,1,2,3Iron,end
4,6.968,1,2,3Iron,end
6.968,8.058,2,3,3Iron,start
6.968,8.058,2,3,3Iron,start
8.059,10.773,2,3,3Iron,start
10.773,11.956,2,3,3Iron,start
11.956,13.486,2,3,3Iron,start
13.486,15.524,2,4,3Iron,end
15.524,16.475,2,4,3Iron,end
16.475,18.27,2,4,3Iron,end
18.27,19.857,2,4,3Iron,end
18.27,19.857,2,4,3Iron,end
19.857,24.998,3,5,3Iron,start
24.998,26.755,3,5,3Iron,start
26.755,28.362,3,5,3Iron,start
28.362,32.804,4,6,3Iron,start
32.804,41.654,4,6,3Iron,start
32.804,41.654,4,6,3Iron,start
41.654,43.887,4,7,3Iron,end
43.887,45.878,4,7,3Iron,end
46.941,47.977,4,7,3Iron,end
47.977,50.845,5,8,3Iron,start
47.977,50.845,5,8,3Iron,start
50.845,56.153,6,9,3Iron,start
50.845,56.153,6,9,3Iron,start
56.153,59.634,6,10,3Iron,internal
59.634,66.677,6,10,3Iron,internal
66.677,68.51,6,10,3Iron,internal
68.51,72.457,6,11,3Iron,internal
72.457,76.122,6,12,3Iron,end
76.122,76.991,6,12,3Iron,end
76.991,77.487,6,12,3Iron,end
78.716,79.938,7,13,3Iron,start
79.938,85.324,7,13,3Iron,start
85.324,89.328,7,14,3Iron,internal
89.328,91.597,7,15,3Iron,internal
91.597,94.141,7,16,3Iron,end
94.141,95.679,8,17,3Iron,start
95.679,96.729,8,17,3Iron,start
96.729,100.336,8,18,3Iron,internal
100.336,103.202,8,19,3Iron,internal
101.73,102.619,8,19,3Iron,internal
103.206,108.445,8,19,3Iron,internal
108.445,109.178,8,20,3Iron,end
109.178,110.208,8,20,3Iron,end
110.213,116.282,8,20,3Iron,end
116.282,117.357,9,21,3Iron,start
117.357,119.825,9,22,3Iron,internal
119.825,122.523,9,22,3Iron,internal
122.523,122.835,9,23,3Iron,internal
122.835,123.967,9,23,3Iron,internal
123.967,125.702,9,24,3Iron,internal
125.702,131.133,9,24,3Iron,internal
131.133,133.143,9,25,3Iron,end
131.133,133.143,9,25,3Iron,end
133.143,135.087,9,25,3Iron,end
135.087,137.709,9,25,3Iron,end
137.704,142.087,10,26,3Iron,start
142.087,145.251,10,26,3Iron,start
145.251,147.757,10,26,3Iron,start
147.757,151.223,10,27,3Iron,end
151.223,157.725,11,28,3Iron,start
157.725,174.541,11,29,3Iron,internal
174.541,184.445,11,30,3Iron,internal
184.445,187.83,11,31,3Iron,end
187.83,191.604,12,32,3Iron,start
187.83,191.604,12,33,3Iron,internal
191.604,195.366,12,34,3Iron,internal
191.604,199.304,12,34,3Iron,internal
199.304,210.48,12,35,3Iron,end
210.48,214.075,12,35,3Iron,end
214.075,217.286,13,36,3Iron,start
214.075,217.286,13,36,3Iron,start
217.286,218.724,14,37,3Iron,start
218.724,222.493,14,37,3Iron,start
222.493,226.496,14,38,3Iron,end
226.496,236.641,14,38,3Iron,end
226.496,236.641,14,38,3Iron,end
226.496,236.641,14,38,3Iron,end
226.496,239.162,14,38,3Iron,end
239.162,245.272,14,38,3Iron,end
239.162,245.272,14,38,3Iron,end
239.162,245.272,14,38,3Iron,end
245.272,247.403,15,39,3Iron,start
247.403,251.304,15,39,3Iron,start
251.304,252.981,15,39,3Iron,start
251.304,252.981,15,39,3Iron,start
254.787,256.803,15,40,3Iron,internal
254.787,256.803,15,40,3Iron,internal
256.803,258.56,15,40,3Iron,internal
258.56,264.923,15,41,3Iron,end
264.923,267.571,15,41,3Iron,end
267.571,278.546,15,41,3Iron,end
278.546,279.642,15,41,3Iron,end
279.642,280.757,16,42,3Iron,start
280.757,284.231,16,42,3Iron,start
284.231,291.109,16,42,3Iron,start
291.109,298.132,16,43,3Iron,end
298.132,301.201,16,43,3Iron,end
301.201,302.829,17,44,3Iron,start
302.829,310.52,17,45,3Iron,internal
310.52,313.339,17,46,3Iron,internal
313.339,314.371,17,46,3Iron,internal
314.371,322.637,17,46,3Iron,internal
322.637,324.19,17,47,3Iron,internal
324.19,325.273,17,47,3Iron,internal
325.273,329.801,17,48,3Iron,end
329.801,332.007,17,48,3Iron,end
332.007,336.065,17,48,3Iron,end
336.065,339.311,18,49,3Iron,start
339.311,342.81,18,49,3Iron,start
342.81,343.751,18,49,3Iron,start
343.751,350.654,18,50,3Iron,internal
350.654,354.389,18,50,3Iron,internal
354.389,359.161,18,50,3Iron,internal
359.161,362.458,18,50,3Iron,internal
362.458,366.064,18,50,3Iron,internal
366.064,373.581,18,51,3Iron,internal
366.064,373.581,18,51,3Iron,internal
373.581,375.506,18,52,3Iron,internal
375.506,377.37,18,52,3Iron,internal
377.37,384.791,18,52,3Iron,internal
384.791,388.617,18,53,3Iron,internal
384.791,388.617,18,53,3Iron,internal
388.617,391.432,18,54,3Iron,internal
391.434,395.899,18,55,3Iron,internal
395.899,399.206,18,56,3Iron,internal
399.206,401.683,18,56,3Iron,internal
401.683,410.09,18,57,3Iron,end
410.09,418.725,18,57,3Iron,end
418.725,422.958,19,58,3Iron,start
418.725,422.958,19,58,3Iron,start
422.958,424.259,19,58,3Iron,start
424.26,426.792,19,58,3Iron,start
426.794,427.415,19,58,3Iron,start
427.415,435.957,19,58,3Iron,start
435.957,441.096,19,58,3Iron,start
441.096,445.339,20,59,3Iron,start
445.339,448.176,20,60,3Iron,internal
448.176,454.786,20,61,3Iron,end 
448.176,454.786,20,61,3Iron,end 
454.786,458.536,20,61,3Iron,end 
454.786,458.536,20,61,3Iron,end 
458.536,461.722,20,61,3Iron,end 
461.722,462.282,20,61,3Iron,end 
462.282,474.786,20,61,3Iron,end 
462.282,474.786,20,61,3Iron,end 
474.786,475.739,21,62,3Iron,start
475.739,478.381,21,62,3Iron,start
478.381,483.251,21,62,3Iron,start
483.249,484.899,21,62,3Iron,start
484.899,487.148,21,62,3Iron,start
487.19,491.293,21,62,3Iron,start
487.19,491.293,21,62,3Iron,start
491.295,496.057,21,63,3Iron,internal
496.057,497.874,21,63,3Iron,internal
497.874,502.124,22,64,3Iron,internal
502.124,505.753,22,65,3Iron,end
502.124,505.753,22,65,3Iron,end
505.753,512.894,22,65,3Iron,end
505.753,512.894,22,65,3Iron,end
512.894,519.658,22,65,3Iron,end
519.658,527.098,23,66,3Iron,start
527.098,537.415,23,66,3Iron,start
537.415,538.508,23,66,3Iron,start
537.415,538.508,23,66,3Iron,start
538.508,544.018,23,67,3Iron,internal
544.018,545.182,23,68,3Iron,internal
545.182,552.955,23,68,3Iron,internal
545.182,552.955,23,68,3Iron,internal
552.955,557.118,23,69,3Iron,internal
557.118,563.284,23,69,3Iron,end
563.284,564.448,23,69,3Iron,end
564.45,567.118,23,69,3Iron,end
567.118,569.634,23,69,3Iron,end
569.634,574.232,24,70,3Iron,start
569.634,574.232,24,70,3Iron,start
569.634,574.232,24,70,3Iron,start
574.232,576.913,24,71,3Iron,end
576.913,577.802,24,71,3Iron,end
577.802,580.75,24,71,3Iron,end
580.75,582.013,25,72,3Iron,start
582.013,583.545,25,72,3Iron,start
583.545,584.827,25,73,3Iron,internal
584.827,589.388,25,74,3Iron,end
0,5,1,1,Corn,start
5,12.705,1,2,Corn,end
12.705,19.56,2,3,Corn,start
19.56,22.07,2,3,Corn,start
22.07,22.86,2,3,Corn,start
22.875,31.89,3,4,Corn,start
31.89,34.2,4,5,Corn,start
34.21,38.715,4,5,Corn,start
38.715,52.845,4,5,Corn,start
52.845,56.57,5,6,Corn,start
56.57,58.065,5,6,Corn,start
58.065,63.185,5,7,Corn,internal
63.185,64.815,5,7,Corn,internal
64.82,67.62,5,7,Corn,internal
67.62,70.38,5,7,Corn,internal
70.38,71.27,5,8,Corn,internal
71.275,75.19,5,8,Corn,internal
75.19,76.42,5,8,Corn,internal
76.42,86.17,5,8,Corn,internal
86.17,88.02,5,8,Corn,internal
88.02,90.31,5,9,Corn,internal
90.31,97.175,5,10,Corn,end
97.18,106.145,6,11,Corn,start
97.18,106.145,6,11,Corn,start
106.145,107.25,6,12,Corn,internal
107.25,108.335,6,12,Corn,internal
108.335,110.015,6,13,Corn,internal
110.022,111.627,6,13,Corn,internal
111.627,115.827,6,14,Corn,internal
115.827,117.632,6,14,Corn,internal
117.632,127.017,6,14,Corn,internal
127.017,143.942,6,15,Corn,internal
127.017,143.942,6,15,Corn,internal
143.942,147.772,6,16,Corn,end
147.777,156.447,7,17,Corn,start
156.447,160.898,7,17,Corn,start
160.898,168.662,7,18,Corn,internal
160.898,168.662,7,18,Corn,internal
160.898,168.662,7,18,Corn,internal
168.662,175.508,7,19,Corn,internal
168.662,175.508,7,19,Corn,internal
175.508,179.312,7,20,Corn,internal
179.312,189.692,7,21,Corn,internal
179.312,189.692,7,21,Corn,internal
189.692,197.437,7,22,Corn,internal
189.692,197.437,7,22,Corn,internal
197.437,199.492,7,23,Corn,internal
199.49,203.686,7,23,Corn,internal
203.686,206.434,7,23,Corn,internal
206.434,207.044,7,24,Corn,end
207.044,211.36,7,24,Corn,end
211.36,218.67,8,25,Corn,start
218.67,221.054,8,25,Corn,start
221.054,223.8,8,26,Corn,end
223.8,225.738,8,26,Corn,end
225.738,227.858,9,27,Corn,start
227.858,229.122,9,27,Corn,start
229.122,231.28,9,28,Corn,internal
231.28,235.155,9,28,Corn,internal
235.155,236.78,9,29,Corn,internal
236.78,239.65,9,30,Corn,internal
239.65,241.3,9,30,Corn,internal
241.3,243.625,9,30,Corn,internal
243.625,245.294,9,30,Corn,internal
245.294,246.75,9,31,Corn,end
246.75,249,9,31,Corn,end
249,249.96,10,32,Corn,start
249.96,254.21,10,32,Corn,start
254.21,255.73,10,32,Corn,start
249.96,255.73,10,32,Corn,start
255.73,259.45,10,32,Corn,start
259.45,264.24,10,32,Corn,start
259.45,264.24,10,32,Corn,start
264.24,267.87,10,32,Corn,start
267.87,270.95,10,32,Corn,start
267.87,270.95,10,32,Corn,start
270.95,274.985,11,33,Corn,start
274.985,281.638,11,33,Corn,start
281.641,285.88,12,34,Corn,start
285.883,293.797,12,35,Corn,internal
293.797,299.888,12,36,Corn,internal
299.888,303.765,12,37,Corn,end
299.888,303.765,12,37,Corn,end
303.766,307.413,12,37,Corn,end
303.766,307.413,12,37,Corn,end
307.413,314.729,12,37,Corn,end
314.729,315.37,13,38,Corn,start
315.37,317.13,13,38,Corn,start
317.13,318.088,13,38,Corn,start
318.088,320.686,13,39,Corn,internal
318.088,320.686,13,39,Corn,internal
320.686,322.112,13,40,Corn,internal
322.112,324.572,13,40,Corn,internal
324.572,325.762,13,40,Corn,internal
325.756,326.735,13,40,Corn,internal
326.735,328.373,13,40,Corn,internal
328.37,329.183,13,40,Corn,internal
329.183,332.401,13,40,Corn,internal
332.401,332.873,13,41,Corn,internal
332.876,335.974,13,41,Corn,internal
335.974,337.208,13,42,Corn,internal
337.208,339.816,13,42,Corn,internal
337.208,339.816,13,42,Corn,internal
339.816,341.533,13,42,Corn,internal
339.816,341.533,13,42,Corn,internal
341.533,348.711,13,43,Corn,internal
348.711,351.502,13,44,Corn,internal
351.502,352.852,13,44,Corn,internal
352.852,356.092,13,45,Corn,end
356.092,360.964,13,45,Corn,end
360.964,370.809,14,46,Corn,start
360.964,370.809,14,46,Corn,start
360.964,370.809,14,46,Corn,start
370.809,381.189,15,47,Corn,start
381.189,381.533,15,47,Corn,start
381.533,385.483,16,48,Corn,start
385.483,389.306,16,48,Corn,start
389.306,390.28,16,48,Corn,start
390.28,393.485,16,48,Corn,start
390.28,393.485,16,48,Corn,start
393.485,396.266,16,48,Corn,start
393.485,396.266,16,48,Corn,start
396.266,401.351,16,49,Corn,internal
401.351,405.132,16,50,Corn,end
405.132,405.394,16,50,Corn,end
405.394,410.251,16,50,Corn,end
405.394,410.251,16,50,Corn,end
410.251,416.533,17,51,Corn,start
410.251,416.533,17,51,Corn,start
410.251,416.533,17,51,Corn,start
416.533,418.309,17,51,Corn,start
418.309,424.387,17,52,Corn,internal
424.387,425.948,17,52,Corn,internal
425.948,430.449,17,52,Corn,internal
430.449,431.957,17,53,Corn,internal
431.957,433.591,17,53,Corn,internal
433.591,440.808,17,54,Corn,end
440.808,441.879,17,54,Corn,end
441.884,445.042,18,55,Corn,start
445.046,462.539,18,56,Corn,end
445.046,462.539,18,56,Corn,end
445.046,462.539,18,56,Corn,end
462.539,465.196,19,57,Corn,start
465.196,472.816,19,58,Corn,internal
472.816,474.144,19,58,Corn,internal
474.144,477.061,19,58,Corn,internal
477.061,479.661,19,59,Corn,internal
479.661,482.787,19,59,Corn,internal
482.787,484.637,19,60,Corn,end
484.637,488.656,19,60,Corn,end
488.658,489.504,19,60,Corn,end
489.504,504.797,20,61,Corn,start
489.504,504.797,20,61,Corn,start
504.797,506.82,20,61,Corn,start
504.797,506.82,20,61,Corn,start
506.82,512.318,20,62,Corn,internal
512.318,513.09,20,62,Corn,internal
513.818,516.846,20,62,Corn,internal
516.846,520.262,20,62,Corn,internal
520.262,530.171,20,62,Corn,internal
530.171,531,20,63,Corn,internal
530.171,531,20,63,Corn,internal
531,533.843,20,64,Corn,internal
533.843,536.675,20,64,Corn,internal
533.843,536.675,20,64,Corn,internal
536.675,542.58,20,65,Corn,end
536.675,542.58,20,65,Corn,end
542.58,546.015,20,65,Corn,end
546.015,549.362,21,66,Corn,start
549.362,553.202,21,66,Corn,start
553.206,556.141,21,67,Corn,internal
556.141,559.487,21,67,Corn,internal
559.487,563.828,21,68,Corn,end
563.828,566,22,69,Corn,start
