pseudo_subid,exp_cond,exp_subid,movName,lag,conditional_probability,event_condition,condition
44,Full,18,3Iron,-5,0,intact,Uninterrupted
44,Full,18,3Iron,-4,0,intact,Uninterrupted
44,Full,18,3Iron,-3,0,intact,Uninterrupted
44,Full,18,3Iron,-2,0.055555556,intact,Uninterrupted
44,Full,18,3Iron,-1,0.125,intact,Uninterrupted
44,Full,18,3Iron,1,0.457142857,intact,Uninterrupted
44,Full,18,3Iron,2,0.171428571,intact,Uninterrupted
44,Full,18,3Iron,3,0.083333333,intact,Uninterrupted
44,Full,18,3Iron,4,0.027777778,intact,Uninterrupted
44,Full,18,3Iron,5,0,intact,Uninterrupted
44,Full,18,3Iron,-5,0,separated,Uninterrupted
44,Full,18,3Iron,-4,0,separated,Uninterrupted
44,Full,18,3Iron,-3,0,separated,Uninterrupted
44,Full,18,3Iron,-2,0,separated,Uninterrupted
44,Full,18,3Iron,-1,0,separated,Uninterrupted
44,Full,18,3Iron,1,0.6,separated,Uninterrupted
44,Full,18,3Iron,2,0.333333333,separated,Uninterrupted
44,Full,18,3Iron,3,0.166666667,separated,Uninterrupted
44,Full,18,3Iron,4,0,separated,Uninterrupted
44,Full,18,3Iron,5,0,separated,Uninterrupted
34,Full,27,3Iron,-5,0,intact,Uninterrupted
34,Full,27,3Iron,-4,0,intact,Uninterrupted
34,Full,27,3Iron,-3,0,intact,Uninterrupted
34,Full,27,3Iron,-2,0,intact,Uninterrupted
34,Full,27,3Iron,-1,0.076923077,intact,Uninterrupted
34,Full,27,3Iron,1,0.625,intact,Uninterrupted
34,Full,27,3Iron,2,0.090909091,intact,Uninterrupted
34,Full,27,3Iron,3,0.21875,intact,Uninterrupted
34,Full,27,3Iron,4,0,intact,Uninterrupted
34,Full,27,3Iron,5,0,intact,Uninterrupted
34,Full,27,3Iron,-5,0,separated,Uninterrupted
34,Full,27,3Iron,-4,0,separated,Uninterrupted
34,Full,27,3Iron,-3,0,separated,Uninterrupted
34,Full,27,3Iron,-2,0,separated,Uninterrupted
34,Full,27,3Iron,-1,0,separated,Uninterrupted
34,Full,27,3Iron,1,0.5,separated,Uninterrupted
34,Full,27,3Iron,2,0.166666667,separated,Uninterrupted
34,Full,27,3Iron,3,0.166666667,separated,Uninterrupted
34,Full,27,3Iron,4,0.166666667,separated,Uninterrupted
34,Full,27,3Iron,5,0,separated,Uninterrupted
76,Ordered,28,3Iron,-5,0.0625,intact,Interrupted
76,Ordered,28,3Iron,-4,0,intact,Interrupted
76,Ordered,28,3Iron,-3,0,intact,Interrupted
76,Ordered,28,3Iron,-2,0,intact,Interrupted
76,Ordered,28,3Iron,-1,0,intact,Interrupted
76,Ordered,28,3Iron,1,0.551724138,intact,Interrupted
76,Ordered,28,3Iron,2,0.178571429,intact,Interrupted
76,Ordered,28,3Iron,3,0,intact,Interrupted
76,Ordered,28,3Iron,4,0.137931034,intact,Interrupted
76,Ordered,28,3Iron,5,0,intact,Interrupted
76,Ordered,28,3Iron,-5,0,separated,Interrupted
76,Ordered,28,3Iron,-4,0,separated,Interrupted
76,Ordered,28,3Iron,-3,0,separated,Interrupted
76,Ordered,28,3Iron,-2,0,separated,Interrupted
76,Ordered,28,3Iron,-1,0,separated,Interrupted
76,Ordered,28,3Iron,1,0.2,separated,Interrupted
76,Ordered,28,3Iron,2,0.6,separated,Interrupted
76,Ordered,28,3Iron,3,0.2,separated,Interrupted
76,Ordered,28,3Iron,4,0,separated,Interrupted
76,Ordered,28,3Iron,5,0,separated,Interrupted
28,Ordered,21,3Iron,-5,0,intact,Interrupted
28,Ordered,21,3Iron,-4,0,intact,Interrupted
28,Ordered,21,3Iron,-3,0,intact,Interrupted
28,Ordered,21,3Iron,-2,0.166666667,intact,Interrupted
28,Ordered,21,3Iron,-1,0,intact,Interrupted
28,Ordered,21,3Iron,1,0.7,intact,Interrupted
28,Ordered,21,3Iron,2,0.076923077,intact,Interrupted
28,Ordered,21,3Iron,3,0.073170732,intact,Interrupted
28,Ordered,21,3Iron,4,0.047619048,intact,Interrupted
28,Ordered,21,3Iron,5,0,intact,Interrupted
28,Ordered,21,3Iron,-5,0,separated,Interrupted
28,Ordered,21,3Iron,-4,0,separated,Interrupted
28,Ordered,21,3Iron,-3,0,separated,Interrupted
28,Ordered,21,3Iron,-2,0.25,separated,Interrupted
28,Ordered,21,3Iron,-1,0,separated,Interrupted
28,Ordered,21,3Iron,1,0.5,separated,Interrupted
28,Ordered,21,3Iron,2,0.142857143,separated,Interrupted
28,Ordered,21,3Iron,3,0,separated,Interrupted
28,Ordered,21,3Iron,4,0,separated,Interrupted
28,Ordered,21,3Iron,5,0,separated,Interrupted
58,Ordered,15,3Iron,-5,0,intact,Interrupted
58,Ordered,15,3Iron,-4,0,intact,Interrupted
58,Ordered,15,3Iron,-3,0,intact,Interrupted
58,Ordered,15,3Iron,-2,0.25,intact,Interrupted
58,Ordered,15,3Iron,-1,0,intact,Interrupted
58,Ordered,15,3Iron,1,0.285714286,intact,Interrupted
58,Ordered,15,3Iron,2,0.166666667,intact,Interrupted
58,Ordered,15,3Iron,3,0.142857143,intact,Interrupted
58,Ordered,15,3Iron,4,0,intact,Interrupted
58,Ordered,15,3Iron,5,0,intact,Interrupted
58,Ordered,15,3Iron,-5,0,separated,Interrupted
58,Ordered,15,3Iron,-4,0,separated,Interrupted
58,Ordered,15,3Iron,-3,0,separated,Interrupted
58,Ordered,15,3Iron,-2,0,separated,Interrupted
58,Ordered,15,3Iron,-1,0,separated,Interrupted
58,Ordered,15,3Iron,1,0,separated,Interrupted
58,Ordered,15,3Iron,2,0,separated,Interrupted
58,Ordered,15,3Iron,3,0,separated,Interrupted
58,Ordered,15,3Iron,4,0,separated,Interrupted
58,Ordered,15,3Iron,5,0,separated,Interrupted
13,Jumbled,3,3Iron,-5,0,intact,Jumbled
13,Jumbled,3,3Iron,-4,0,intact,Jumbled
13,Jumbled,3,3Iron,-3,0,intact,Jumbled
13,Jumbled,3,3Iron,-2,0,intact,Jumbled
13,Jumbled,3,3Iron,-1,0.066666667,intact,Jumbled
13,Jumbled,3,3Iron,1,0.481481481,intact,Jumbled
13,Jumbled,3,3Iron,2,0.178571429,intact,Jumbled
13,Jumbled,3,3Iron,3,0.071428571,intact,Jumbled
13,Jumbled,3,3Iron,4,0,intact,Jumbled
13,Jumbled,3,3Iron,5,0.035714286,intact,Jumbled
13,Jumbled,3,3Iron,-5,0,separated,Jumbled
13,Jumbled,3,3Iron,-4,0,separated,Jumbled
13,Jumbled,3,3Iron,-3,0,separated,Jumbled
13,Jumbled,3,3Iron,-2,0,separated,Jumbled
13,Jumbled,3,3Iron,-1,0,separated,Jumbled
13,Jumbled,3,3Iron,1,0.4,separated,Jumbled
13,Jumbled,3,3Iron,2,0,separated,Jumbled
13,Jumbled,3,3Iron,3,0,separated,Jumbled
13,Jumbled,3,3Iron,4,0.2,separated,Jumbled
13,Jumbled,3,3Iron,5,0,separated,Jumbled
63,Jumbled,16,3Iron,-5,0.045454545,intact,Jumbled
63,Jumbled,16,3Iron,-4,0,intact,Jumbled
63,Jumbled,16,3Iron,-3,0,intact,Jumbled
63,Jumbled,16,3Iron,-2,0.055555556,intact,Jumbled
63,Jumbled,16,3Iron,-1,0.076923077,intact,Jumbled
63,Jumbled,16,3Iron,1,0.464285714,intact,Jumbled
63,Jumbled,16,3Iron,2,0.107142857,intact,Jumbled
63,Jumbled,16,3Iron,3,0.12,intact,Jumbled
63,Jumbled,16,3Iron,4,0.136363636,intact,Jumbled
63,Jumbled,16,3Iron,5,0,intact,Jumbled
63,Jumbled,16,3Iron,-5,0,separated,Jumbled
63,Jumbled,16,3Iron,-4,0,separated,Jumbled
63,Jumbled,16,3Iron,-3,0,separated,Jumbled
63,Jumbled,16,3Iron,-2,0,separated,Jumbled
63,Jumbled,16,3Iron,-1,0,separated,Jumbled
63,Jumbled,16,3Iron,1,0.6,separated,Jumbled
63,Jumbled,16,3Iron,2,0,separated,Jumbled
63,Jumbled,16,3Iron,3,0,separated,Jumbled
63,Jumbled,16,3Iron,4,0,separated,Jumbled
63,Jumbled,16,3Iron,5,0,separated,Jumbled
82,Full,26,3Iron,-5,0,intact,Uninterrupted
82,Full,26,3Iron,-4,0,intact,Uninterrupted
82,Full,26,3Iron,-3,0,intact,Uninterrupted
82,Full,26,3Iron,-2,0,intact,Uninterrupted
82,Full,26,3Iron,-1,0.076923077,intact,Uninterrupted
82,Full,26,3Iron,1,0.636363636,intact,Uninterrupted
82,Full,26,3Iron,2,0.25,intact,Uninterrupted
82,Full,26,3Iron,3,0.069767442,intact,Uninterrupted
82,Full,26,3Iron,4,0.023809524,intact,Uninterrupted
82,Full,26,3Iron,5,0,intact,Uninterrupted
82,Full,26,3Iron,-5,0,separated,Uninterrupted
82,Full,26,3Iron,-4,0,separated,Uninterrupted
82,Full,26,3Iron,-3,0,separated,Uninterrupted
82,Full,26,3Iron,-2,0,separated,Uninterrupted
82,Full,26,3Iron,-1,0,separated,Uninterrupted
82,Full,26,3Iron,1,0.5,separated,Uninterrupted
82,Full,26,3Iron,2,0.25,separated,Uninterrupted
82,Full,26,3Iron,3,0.125,separated,Uninterrupted
82,Full,26,3Iron,4,0,separated,Uninterrupted
82,Full,26,3Iron,5,0,separated,Uninterrupted
5,Full,25,3Iron,-5,0.066666667,intact,Uninterrupted
5,Full,25,3Iron,-4,0,intact,Uninterrupted
5,Full,25,3Iron,-3,0,intact,Uninterrupted
5,Full,25,3Iron,-2,0,intact,Uninterrupted
5,Full,25,3Iron,-1,0,intact,Uninterrupted
5,Full,25,3Iron,1,0.685714286,intact,Uninterrupted
