pseudo_subid,exp_subid,exp_cond,movName,recalled_eventNo,precision,condition
44,18,Full,3Iron,1,0.724214882,Uninterrupted
44,18,Full,3Iron,4,0.763458282,Uninterrupted
44,18,Full,3Iron,5,0.704820365,Uninterrupted
44,18,Full,3Iron,6,0.72771959,Uninterrupted
44,18,Full,3Iron,7,0.65761514,Uninterrupted
44,18,Full,3Iron,14,0.728670895,Uninterrupted
44,18,Full,3Iron,34,0.614302427,Uninterrupted
44,18,Full,3Iron,17,0.729992673,Uninterrupted
44,18,Full,3Iron,19,0.628915757,Uninterrupted
44,18,Full,3Iron,20,0.496987575,Uninterrupted
44,18,Full,3Iron,63,0.792137355,Uninterrupted
44,18,Full,3Iron,23,0.633645833,Uninterrupted
44,18,Full,3Iron,24,0.596739411,Uninterrupted
44,18,Full,3Iron,25,0.676574379,Uninterrupted
44,18,Full,3Iron,26,0.651983231,Uninterrupted
44,18,Full,3Iron,29,0.605193064,Uninterrupted
44,18,Full,3Iron,30,0.795701325,Uninterrupted
44,18,Full,3Iron,31,0.804830521,Uninterrupted
44,18,Full,3Iron,34,0.649168551,Uninterrupted
44,18,Full,3Iron,35,0.726234972,Uninterrupted
44,18,Full,3Iron,36,0.784201503,Uninterrupted
44,18,Full,3Iron,35,0.58122275,Uninterrupted
44,18,Full,3Iron,37,0.793443739,Uninterrupted
44,18,Full,3Iron,38,0.740226194,Uninterrupted
44,18,Full,3Iron,41,0.726419225,Uninterrupted
44,18,Full,3Iron,39,0.746772707,Uninterrupted
44,18,Full,3Iron,41,0.802051485,Uninterrupted
44,18,Full,3Iron,42,0.698621333,Uninterrupted
44,18,Full,3Iron,43,0.653235108,Uninterrupted
44,18,Full,3Iron,44,0.6438995,Uninterrupted
44,18,Full,3Iron,46,0.713591963,Uninterrupted
44,18,Full,3Iron,45,0.452704191,Uninterrupted
44,18,Full,3Iron,66,0.585959688,Uninterrupted
44,18,Full,3Iron,68,0.59354794,Uninterrupted
44,18,Full,3Iron,58,0.751561403,Uninterrupted
44,18,Full,3Iron,59,0.575924665,Uninterrupted
44,18,Full,3Iron,61,0.673382759,Uninterrupted
44,18,Full,3Iron,62,0.701950848,Uninterrupted
44,18,Full,3Iron,64,0.498462049,Uninterrupted
44,18,Full,3Iron,65,0.633497745,Uninterrupted
44,18,Full,3Iron,50,0.693808228,Uninterrupted
44,18,Full,3Iron,52,0.764748871,Uninterrupted
44,18,Full,3Iron,69,0.489372602,Uninterrupted
44,18,Full,3Iron,70,0.625141546,Uninterrupted
44,18,Full,3Iron,74,0.786081344,Uninterrupted
34,27,Full,3Iron,1,0.810921341,Uninterrupted
34,27,Full,3Iron,3,0.762422383,Uninterrupted
34,27,Full,3Iron,4,0.721752554,Uninterrupted
34,27,Full,3Iron,5,0.685763478,Uninterrupted
34,27,Full,3Iron,6,0.74522227,Uninterrupted
34,27,Full,3Iron,7,0.769482732,Uninterrupted
34,27,Full,3Iron,10,0.688719749,Uninterrupted
34,27,Full,3Iron,12,0.631108016,Uninterrupted
34,27,Full,3Iron,19,0.789137423,Uninterrupted
34,27,Full,3Iron,20,0.67044422,Uninterrupted
34,27,Full,3Iron,21,0.67421478,Uninterrupted
34,27,Full,3Iron,24,0.606316753,Uninterrupted
34,27,Full,3Iron,25,0.615314513,Uninterrupted
34,27,Full,3Iron,26,0.703259498,Uninterrupted
34,27,Full,3Iron,29,0.652438879,Uninterrupted
34,27,Full,3Iron,31,0.759706348,Uninterrupted
34,27,Full,3Iron,34,0.706734717,Uninterrupted
34,27,Full,3Iron,37,0.766670227,Uninterrupted
